star, stär, зірка, beginner, images\star.png
constellation, känstəˈlāSH(ə)n, сузір'я, advanced, images\constellation.jpg
comet, ˈkämət, комета, beginner, images\comet.jpg
uno, ˈu.no, один, beginner, images\uno.jpg
dos, ˈdos, два, beginner, images\dos.jpg
tres, ˈtɾes, три, beginner, images\tres.jpg
cuatro, ˈkwa.tɾo, чотири, beginner, images\cuatro.jpg
cinco, ˈsĩŋ.ko, п'ять, intermediate, images\cinco.jpg
seis, ˈsei̯s, шість, intermediate, images\seis.jpg
siete, ˈsjɛ.te, сім, intermediate, images\siete.jpg
ocho, ˈo.ʧo, вісім, advanced, images\ocho.jpg
nueve, ˈnwe.βe, дев'ять, advanced, images\nueve.jpg
diez, ˈdjes, десять, advanced, images\diez.jpg
plum, pləm, слива, intermediate, images.plum.jpg
pomegranate, ˈpäm(ə)ˌɡranət, гранат, beginner, images\pomegranate.jpg
tangerine, ˌtanjəˈrēn, мандарин, advanced, images\tangerine.jpg
passion fruit, ˈpaSHən fro͞ot, маракуйя, advanced, images\passion_fruit.jpg
peach, pēCH, персик, advanced, images\peach.jpg
whale, (h)wāl, кит, beginner, images\whale.jpg
algae, ˈældʒɪ, водорості, advanced, images\algae.jpg
oak, ōk, дуб, intermediate, images\oak.jpg
walrus, ˈwôlrəs, морж, advanced, images\walrus.jpg
otter, ˈädər, видра, advanced, images\otter.jpg
raccoon, raˈko͞on, єнот, intermediate, images\raccoon.jpg
blanco, ˈblãŋ.ko, білий, beginner, images\blanco.jpg
rojo, ˈro.xo, червоний, intermediate, images\rojo.jpg
verde, ˈbɛɾ.ðe, зелений, advanced, images\verde.jpg
pizza, ˈpētsə, піца, beginner, images\pizza.jpg
fish, fiSH, риба, beginner, images\fish.jpg
swimming, ˈswimiNG, плавання, beginner, images\swimming.jpg
parkour, pärˈko͝or, паркур, intermediate, images\parkour.png
violin, ˌvīəˈlin, скрипка, intermediate, images\violin.jpg
guitar, ɡəˈtär, гітара, beginner, images\guitar.jpg
Jupiter, ˈdʒuːpətɚ, Юпітер, intermediate, images\Jupiter.jpg
Mars, ˈmɑrz, Марс, beginner, images\Mars.jpg
circle, ˈsərk(ə)l, коло, beginner, images\circle.jpg
triangle, ˈtrīˌaNGɡəl, трикутник, intermediate, images\triangle.png
hexagon, ˈheksəˌɡän, шестикутник, advanced, images\hexagon.png
spider, ˈspīdər, павук, beginner, images\spider.jpg
mantis, ˈman(t)əs, богомол, advanced, images\mantis.jpg
stork, stôrk, лелека, advanced, images\stork.jpg
peewit, ˈpiːˌwɪt, чайка, advanced, images\peewit.jpg
aubergine, ˈoʊbɚˌʒiːn, баклажан, intermediate, images\auberine.jpg
zucchini, zʊˈkiːnɪ, кабачок, intermediate, images\zucchini.jpg
lilies, ˈlɪliːz, лілії, beginner, images\lilies.jpg
daisy, ˈdāzē, маргаритка, intermediate, images\daisy.jpg
bamboo, bamˈbo͞o, бамбук, beginner, images\bamboo.jpg
underground, 'ʌndəgraund, метро, beginner, images\underground.jpg
rocket, ˈräkət, ракета, beginner, images\rocket.jpg
computer, kəmˈpyo͞odər, комп'ютер, beginner, images\computer.jpg
tent, tent, намет, beginner, images\tent.jpg
jungle, ˈjəNGɡəl, джунглі, beginner, images\jungle.jpg
conductor, kənˈdəktər, диригент, intermediate, images\conductor.jpg
ballerina, ˌbaləˈrēnə, балерина, beginner, images\ballerina.jpg
exhibition, ˌeksəˈbiSH(ə)n, виставка, intermediate, images\exhibition.jpg
theater, ˈTHēədər, театр, beginner, images\theatre.jpg
injection, inˈjekSH(ə)n, укол, beginner, images\injection.jpg
bruise, bro͞oz, синець, intermediate, images\bruise.jpg
archaeology, ˌärkēˈäləjē, археологія, intermediate, images\archaeology.jpg
chemistry, ˈkeməstrē, хімія, beginner, images\chemistry.jpg
light bulb, ˈlīt ˌbəlb, лампочка, beginner, images\light_bulb.jpeg
photocopier, ˈfōdōˌkäpēər, ксерокс, intermediate, images\photocopier.jpg
volcanic eruption, välˈkanik əˈrəpSH(ə)n, виверження вулкану, beginner, images\volcanic_eruption.jpg
blizzard, ˈblizərd, хуртовина, advanced, images\blizzard.jpg
election, əˈlekSH(ə)n, вибори, intermediate, images\election.jpg
riot, ˈrīət, бунт, beginner, images\riot.jpg
