star, стар, зірка, beginner, images\star.png
constellation, констелейшн, сузір'я, advanced, images\constellation.jpg
comet, комет, комета, beginner, images\comet.jpg
uno, уно, один, beginner, images\uno.jpg
dos, дос, два, beginner, images\dos.jpg
tres, трес, три, beginner, images\tres.jpg
cuatro, кватро, чотири, beginner, images\cuatro.jpg
cinco, сінко, п'ять, intermediate, images\cinco.jpg
seis, сеіс, шість, intermediate, images\seis.jpg
siete, с'єте, сім, intermediate, images\siete.jpg
ocho, очо, вісім, advanced, images\ocho.jpg
nueve, нуеве, дев'ять, advanced, images\nueve.jpg
diez, діеф, десять, advanced, images\diez.jpg
plum, плам, слива, intermediate, images.plum.jpg
pomegranate, помігранет, гранат, beginner, images\pomegranate.jpg
tangerine, танджерін, мандарин, advanced, images\tangerine.jpg
passion fruit, пашин фрут, маракуйя, advanced, images\passion_fruit.jpg
peach, піч, персик, advanced, images\peach.jpg
whale, вейл, кит, beginner, images\whale.jpg
algae, алгей, водорості, advanced, images\algae.jpg
oak, оук, дуб, intermediate, images\oak.jpg
walrus, вулрайс, морж, advanced, images\walrus.jpg
otter, отер, видра, advanced, images\otter.jpg
raccoon, ракун, єнот, intermediate, images\raccoon.jpg
blanco, блянко, білий, beginner, images\blanco.jpg
rojo, брохо, червоний, intermediate, images\rojo.jpg
verde, верде, зелений, advanced, images\verde.jpg
pizza, піца, піца, beginner, images\pizza.jpg
fish, фіш, риба, beginner, images\fish.jpg
swimming, свімін, плавання, beginner, images\swimming.jpg
parkour, паркур, паркур, intermediate, images\parkour.png
violin, вайолін, скрипка, intermediate, images\violin.jpg
guitar, гітар, гітара, beginner, images\guitar.jpg
Jupiter, джупітер, Юпітер, intermediate, images\Jupiter.jpg
Mars, марс, Марс, beginner, images\Mars.jpg
circle, серкл, коло, beginner, images\circle.jpg
triangle, трайангл, трикутник, intermediate, images\triangle.png
hexagon, хексагон, шестикутник, advanced, images\hexagon.png
spider, спайдер, павук, beginner, images\spider.jpg
mantis, мантіс, богомол, advanced, images\mantis.jpg
stork, сток, лелека, advanced, images\stork.jpg
peewit, півит, чайка, advanced, images\peewit.jpg
aubergine, обежін, баклажан, intermediate, images\auberine.jpg
zucchini, зукіні, кабачок, intermediate, images\zucchini.jpg
lilies, ліліс, лілії, beginner, images\lilies.jpg
daisy, дейзі, маргаритка, intermediate, images\daisy.jpg
bamboo, бамбу, бамбук, beginner, images\bamboo.jpg
underground, андеграунд, метро, beginner, images\underground.jpg
rocket, рокет, ракета, beginner, images\rocket.jpg
computer, комп'ютер, комп'ютер, beginner, images\computer.jpg
tent, тент, намет, beginner, images\tent.jpg
jungle, джангл, джунглі, beginner, images\jungle.jpg
conductor, кондактер, диригент, intermediate, images\conductor.jpg
ballerina, балеріна, балерина, beginner, images\ballerina.jpg
exhibition, екзібішн, виставка, intermediate, images\exhibition.jpg
theatre, сеатер, театр, beginner, images\theatre.jpg
injection, інджекшн, укол, beginner, images\injection.jpg
bruise, брус, синець, intermediate, images\bruise.jpg
archaeology, аркеолоджі, археологія, intermediate, images\archaeology.jpg
chemistry, кемістрі, хімія, beginner, images\chemistry.jpg
light bulb, лаіт балб, лампочка, beginner, images\light_bulb.jpeg
photocopier, фотокопіе, ксерокс, intermediate, images\photocopier.jpg
volcanic eruption, вулканік ерапшн, виверження вулкану, beginner, images\volcanic_eruption.jpg
blizzard, блізед, хуртовина, advanced, images\blizzard.jpg
election, елекшн, вибори, intermediate, images\election.jpg
riot, райот, бунт, beginner, images\riot.jpg
